"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4240","4420","4630","4870","4890","5100","5270","5540","5880","5810","5850","6300","6140","6670","6960","7300","8220","8900","9780","9850","10130","10300","10040","10060","10820","10930","11710","11550","12150","12700","10990","12050","13540",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17620","18400","19210","19730","21210","22290","23280","24480","25450","26370","28010","29010","30260","30550","32980","34430","37780","39210","41740","40730","43700","45340","45820","48210","49640","50550","53250","56570","59080","61650","62800","67130","76810",
"Dominican Republic","DOM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3540","3610","4020","4270","4420","4680","4990","5440","5760","6080","6420","6620","6930","6710","6860","7860","8780","9540","10050","10090","10910","11300","11320","11760","12680","13960","15230","15740","17130","18080","16850","19530","21910",
"Algeria","DZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6720","6570","6760","6690","6590","6770","7040","7180","7550","7750","8090","8580","8990","9710","10200","10910","11400","12220","12610","12640","13100","13410","13180","12850","12760","11760","11570","11630","11710","11820","11220","11950","12930",
"East Asia & Pacific (excluding high income)","EAP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1429.42793501215","1567.71394182154","1743.36086702962","1947.76233974881","2174.83521497997","2383.37478895505","2609.97224192922","2801.82755458751","2812.64583030296","2980.39511499217","3241.25991213161","3507.09124140013","3812.25194705053","4187.01943184267","4640.75735743129","5177.79507778899","5878.33433824429","6720.30617665249","7381.18760121947","7882.68098597529","8664.91768144976","9478.70464033927","10300.4910094384","10826.3343533601","11406.4181984935","11672.3152702934","12187.9415634103","12887.5426515965","13922.9576256517","14918.2016028309","15114.0924268292","16788.8164416432","18566.2889186351",
"Early-demographic dividend","EAR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2878.64174704424","3054.95315002056","3193.37342671514","3288.34416925842","3388.0412504616","3509.84521971863","3702.01321365607","3855.47307796991","3820.40042586769","3891.17260510542","4080.38863711666","4196.80930422564","4274.61569790658","4513.92112249015","4846.86705135958","5214.52565066975","5673.7984227143","6113.01708536789","6400.76725175266","6488.52241328328","6882.26743276216","7287.91231414457","7643.17761449316","7859.89959487596","8083.8180301585","8190.68427024396","8466.70970890589","8902.04126331628","9336.24206530177","9608.48731933571","9228.24679145399","10092.5994804889","11391.9180961925",
"East Asia & Pacific","EAS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3233.93074632532","3473.71394442333","3697.03222359612","3950.07792936279","4237.5908173013","4533.8992927941","4856.25029170793","5112.93119867378","5095.28732060736","5321.50292934586","5728.1035130646","6042.40319473362","6419.29281481075","6848.96829827457","7436.02218742204","8069.04014327244","8899.81840339427","9861.63096764522","10499.3073835426","10837.7639919172","11761.0335667656","12625.6827732377","13482.8038723713","14134.7894644487","14722.4712373149","15093.2470956975","15580.4239583631","16328.7941628476","17385.0206984499","18347.1026508514","18514.0952409843","20292.6114714694","22297.3715008774",
"Europe & Central Asia (excluding high income)","ECA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6998.42409305572","6844.61131817443","6297.37483989755","6073.90286324107","5483.44944853837","5478.00404816518","5528.41159981849","5754.76085623286","5222.82075477158","5394.56621907868","6044.21527125238","6415.68104026238","6870.20293931509","7557.21754478193","8480.43866202584","9507.71978079629","11305.9267697998","12615.2376533497","14377.7332365608","13846.1335096221","14856.2678887903","16384.9195581358","17425.838559027","18763.1789934002","19133.2511782254","18814.6315103201","19111.8005579517","20284.7546300307","21676.3683434587","22329.8071726657","22369.9059794924","24778.040732608","27740.7154880476",
"Europe & Central Asia","ECS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11789.4149446001","12103.7118541968","12161.5836066758","12266.341615675","12482.0151671174","12845.9909682122","13287.1396945877","13874.4018243134","14147.6381198815","14707.050237256","15845.9932722589","16627.6050874976","17388.1927579928","18062.501630599","19213.227651058","20270.5410235558","22390.2811392526","23911.8326932611","25422.663455899","24833.2536092376","25962.2149922468","27491.0283302042","28256.1438931016","29506.7031231813","30221.9125191185","30626.7180993837","32019.5173475313","33741.6875361097","35467.2845075024","37294.2145692115","36140.6321363671","39264.1080282496","43541.3155044091",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4350","4650","4830","4980","5220","5370","5440","5700","5820","5380","5470","5820","6080","6250","6790","7300","7760","8000","8670","8650","8980","9710","10150","10970","11530","10870","10860","11410","11560","11520","10650","11590","12630",
